Field (meaning),Reward,Tier,Currency,Upload receipt,Mission (campaigns + mission),Referral (campaigns + referral),Check-in (campaigns + checkin),Activity (campaigns + activity),Purchase
"id — Row / ledger UUID","a1b2c3d4-e5f6-7890-abcd-ef1234567890","e5f67890-1234-5678-9abc-def012345678","7g8h9012-3456-789a-bcde-f01234567890","9i0j1234-5678-90ab-cdef-012345678901","k1l23456-7890-abcd-ef01-234567890abc","m3n45678-90ab-cdef-0123-4567890abcde","o5p67890-abcd-ef01-2345-67890abcdef0","q7r89012-cdef-0123-4567-890abcdef012","s9t01234-ef01-2345-6789-0abcdef01234"
"title — Main headline","Free Coffee (translated reward name)","Upgraded to Gold","+ 250 points","Receipt #INV-00421","Weekly Spender","Referral","Day 7 Check-in","Summer Photo Contest","Purchase #TXN-8821"
"description — Subtitle / secondary line","Promo or code as text on ledger row","Met spend requirement","purchase (from wallet description / source)","Upload notes text","Mission description text","Invite code: ABC12XYZ",,"(often null)","Siam Paragon (store_code)"
"status — Business state","redeemed | used | expired | pending","upgrade | downgrade | initial | manual | scheduled | …","earn | burn | …","approved | pending | … (upload status)","completed | in_progress | inactive","activated | signed_up | pending","completed","approved | pending | rejected","Purchase status from ledger"
"icon — Small pictogram URL (Iconify / asset)","https://api.iconify.design/solar/gift-bold.svg?color=…","https://api.iconify.design/solar/medal-ribbons-star-bold.svg?color=…","P or ticket Iconify URL per currency filter","Document Iconify URL","Flag Iconify URL","Users-group Iconify URL","Calendar Iconify URL","Clipboard Iconify URL","Bag-heart Iconify URL"
"icon_bg — Brand tint behind icon (#RRGGBBAA)","#6366F126 (primary + 26 alpha)","#6366F126 or tier color + 26","#6366F126","#6366F126","#6366F126","#6366F126","#6366F126","#6366F126","#6366F126"
"image — Entity image URL; falls back to icon when none","Reward image[1] or same as icon","Tier icon if http URL else same as icon","Same URL as icon","Receipt image URL or icon","Mission images[1] or flag icon","Same as icon","Same as icon","activity image_url or icon","Same as icon"
"results[] — JSON array of chips {type amount label icon sign}","[{""type"":""points"",""amount"":-500,""label"":""500"",""icon"":""…p…"",""sign"":""negative""}]","[]","[{""type"":""points"",""amount"":250,""label"":""250"",""icon"":""…"",""sign"":""positive""}]","Points chip from linked earn or estimated_points or []","Multiple chips from mission_outcomes (points/tickets/reward positive)","[]","Optional one chip points/tickets positive","One or two chips points and/or tickets","[]"
"dates[] — JSON array {key label value timestamps}","redeemed_at use_expire_date used_at created_at","created_at as Date","created_at expiry_date if set","created_at transaction_date if linked","created_at start_date end_date completed_at if set","created_at signed_up_at first_purchase_at if set","checkin_date","created_at approved_at rejected_at if set","transaction_date created_at"
"details[] — JSON array {key label value text}","{code promo_code qty fulfillment…}","{from_tier to_tier change_type reason}","{source_type component balance_after}","{amount approval_method}","{progress e.g. 3/10 mission_type}","{invite_code}","{streak_day}","{reason if rejected}","{final_amount discount tax store payment}"
"action — Primary CTA object or null","{""type"":""use_reward"",""label"":""Use""} when redeemable else null",,,,,,,
"metadata — JSON object with ids / raw fields","{reward_id fulfillment_method online_store external_ref_id}","{from_tier_id to_tier_id to_tier_color to_tier_emoji}","{balance_before balance_after}","{batch_id purchase_ledger_id}","{mission_code mission_id}","{invitee_user_id}","{condition_id}","{activity_id field_values}","{transaction_number record_type}"
"filter — Sub-tab / subtype key for UI and p_filter","redeemed | used | expired | pending","tier","points | ticket","upload_receipt","mission","referral","checkin","activity","purchase"
