area,mongo_source,mongo_field,mongo_type,supabase_table,supabase_column,supabase_type,transform,notes

### user_accounts — Core user identity. One row per end-user per merchant. Profile / tier FK / persona FK / notification toggles. Admin users are NOT migrated here — they will be re-invited via admin_users.,,,,,,,,

## Area 1: Accounts — loyaltydb.users → user_accounts,,,,,,,,
Accounts,loyaltydb.users,_id,ObjectId,user_accounts,mongo_id,text,direct,Original MongoDB ObjectId for traceability
Accounts,—,—,—,user_accounts,id,uuid,gen_random_uuid(),New Supabase primary key
Accounts,loyaltydb.users,merchantId,ObjectId,user_accounts,merchant_id,uuid,resolve_fk,FK → merchant_master via mongo_id
Accounts,loyaltydb.users,lineUserId,String|Null,user_accounts,line_id,text,direct,
Accounts,loyaltydb.users,phoneNumber,String,user_accounts,tel,text,direct,
Accounts,loyaltydb.users,id_card,String,user_accounts,id_card,text,direct,
Accounts,loyaltydb.users,email,String|Null,user_accounts,email,text,direct,Prefer contacts.email if non-null
Accounts,loyaltydb.users,fullName,String,user_accounts,fullname,text,direct,Fallback; prefer contacts.firstName+lastName
Accounts,loyaltydb.users,avatar,String,user_accounts,image,text,direct,Prefer contacts.imageUrl if non-empty
Accounts,loyaltydb.users,userType,String,user_accounts,user_type,user_type,direct,CUSTOMER→buyer / MERCHANT→seller
Accounts,loyaltydb.users,status,String,user_accounts,user_stage,text,direct,ACTIVE→member / INACTIVE→lead / FREEZE→frozen
Accounts,loyaltydb.users,memberCode,String,user_accounts,external_user_id,text,direct,Legacy member code
Accounts,loyaltydb.users,memberTier.tierId,ObjectId,user_accounts,tier_id,uuid,resolve_fk,FK → tier_master via mongo_id
Accounts,loyaltydb.users,notifSetting.channels.email,Boolean,user_accounts,channel_email,boolean,direct,
Accounts,loyaltydb.users,notifSetting.channels.lineChat,Boolean,user_accounts,channel_line,boolean,direct,
Accounts,loyaltydb.users,createdAt,Date,user_accounts,created_at,timestamptz,direct,

## Area 1: Skipped — loyaltydb.users,,,,,,,,
Accounts,loyaltydb.users,isLoyaltyAdmin,Boolean,,,,skip,Admin users not migrated to user_accounts; will re-invite via admin_users
Accounts,loyaltydb.users,isPosAdmin,Boolean,,,,skip,Admin users not migrated to user_accounts; will re-invite via admin_users
Accounts,loyaltydb.users,isLoyaltyAdminEditor,Boolean,,,,skip,Admin users not migrated
Accounts,loyaltydb.users,isPosAdminEditor,Boolean,,,,skip,Admin users not migrated
Accounts,loyaltydb.users,__v,Number,,,,skip,Mongoose version key
Accounts,loyaltydb.users,contactId,ObjectId,,,,skip,Internal ref; join via users._id
Accounts,loyaltydb.users,updatedAt,Date,,,,skip,No updated_at column
