Estimate Project Investment,,,,,,,,,,,,,,,,,,,
Project,"Samitivej CRM Center
Member / Coins / eCoupon / Tier / Privilege / Omni-channel API",,,,,,,,,,,,,,,,,,
Phase,Phase 1:  Loyalty Program eCoupon & Coins Management ,,,,,,,,,,,,,,,,,,
,Phase 2: Membership Management & Marketing Automation,,,,,,,,,,,,,,,,,,
Date,20-Mar-26,,,,,,,,,,,,,,,,,,
Note,SVNH พิจารณางบการลงทุนเริ่มต้น ครอบคลุมที่ 2 สาขา,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PHASE,,Name,,,,,,,,,,,,,,,,,
,,"One-Time
Development Cost","Yearly Subscription
and Maintenance",Details,,,,,,,,,,,,,,,
Phase 1,Loyalty Program eCoupon & Coins Management ,"  980,000 ","  1,712,000 ",,,,,,,,,,,,,,,,
1,"หมวด: Project & Design Setup
Standard Project Setup 
Support / SLA / Operations", FREE , FREE ,"- จัดทำ Project Timeline & Go-Live Checklist ครบวงจร
- ทดสอบ HIS Integration, Well SSO, Payment Gateway, Shopee/Lazada Webhook ก่อน Go-Live
- Configuration ธุรกิจ: Tier Threshold, Earn Rule, Privilege Catalog, Communication Template ให้ครบ
- อบรมเจ้าหน้าที่แผนก (50+ แผนก) ใช้ระบบออก Privilege และค้นหาคนไข้
- Performance Test ทุก Target (Eligibility <50ms, Earn <1s, 10k Concurrent)
- Pentest + Security Audit ก่อน Production
- L1 Technical Support 7 วัน 9:00–21:00 / L2 Engineering On-call สำหรับ P1
- SLA: P1 Critical ตอบ 15 นาที แก้ 4 ชม. / P2 High ตอบ 30 นาที แก้ 8 ชม.
- Campaign Support รอบ 3 วัน (รับ Brief → Configure → Deploy)
- Monthly Report: Member Analytics, Coin Economy, Campaign Performance, Redemption
- Monthly Review: System Health, Campaign, Privilege Stock, Security
- Change Management 5 ขั้นตอน: Request → Assessment → Approval → Implement → Monitor
- Disaster Recovery: Backup + Failover Test",,,,,,,,,,,,,,,
2,"หมวด Module & System
ระบบ สมัครสมาชิก/เข้าสู่ระบบ (Register/Login/SSO/OTP)
ระบบ Coin Wallet & ยอดคะแนนสะสม
ระบบ แลก Coins เป็น eCoupon / Privilege / Reward Catalog
ระบบ Coins Rule Engine
ระบบ Earn Coins จากพฤติกรรม (Content/Social)
ระบบ eCoupon สำหรับโรงพยาบาล (เดี่ยว/ชุด/Seasonal)
ระบบ eCoupon แพ็กเกจหลายครั้ง (Package Entitlement ตัดใช้ทีละครั้ง)
ระบบ Mission & Gamification
ระบบ ซื้อ Health Package เชื่อม Well by Samitivej เป็น eCoupon
ระบบ Transfer Coin/Point (E-commerce & Partners) ","  390,000 ","  1,712,000 ","- สมัครสมาชิก: Well SSO Token Validation / LINE OAuth / OTP / Multi-channel Registration / Identity Matching (บัตรประชาชน+เบอร์โทร+HN+LINE ID+Well ID) รวมเป็น Profile เดียว
- Coin Wallet: ยอด Real-time แสดงเหมือนกันทุกช่องทาง (Well App, LINE, เว็บไซต์) / ประวัติ Transaction พร้อม Source Attribution / 3 โหมด Expiry (Days After Earn, Fixed Calendar, End of Period) / แจ้งเตือนล่วงหน้า 30/7/1 วัน
- แลก Coins: eCoupon ครั้งเดียว+หลายครั้ง / Partner Reward (Starbucks, Grab, After You) / Flash Reward รองรับ 10,000+ คนพร้อมกัน / Dynamic Pricing ตาม Tier / QR Code สำหรับใช้งาน
- Coins Rule Engine: Visual Rule Builder / Base Rate + Multiplier + Bonus / เงื่อนไขตาม สาขา แผนก Tier ช่วงเวลา / Stacking Toggle (ทบหรือใช้ตัวสูงสุด) / Cap & Safeguard / Delayed Award ป้องกันยกเลิก
- Earn จากพฤติกรรม: อ่านบทความ (5 Coin) / แชร์ LINE (10 Coin) / ทำแบบสอบถาม (50 Coin) / แนะนำเพื่อน (200 Coin) / Health Assessment (30 Coin) / On-site Gamification (500 Coin) / First Purchase (100 Coin)
- eCoupon โรงพยาบาล: เดี่ยว/ชุด/Seasonal (วันเกิด ครบรอบ หลังพบแพทย์) / Auto-issuance หลังใช้บริการ (OPD→Café Voucher, Discharge→Follow-up) / 3 Visibility Mode (Public, Admin-only, Campaign)
- Package Entitlement: Multi-use ตัดทีละครั้ง (เช่น กายภาพบำบัด 5 ครั้ง) / Anti-double-spend Row Lock / ข้ามสาขาได้ / Admin Adjustment+Extension พร้อม Approval / Audit Trail ครบ
- Mission & Gamification: Standard + Milestone Mission / AND/OR Logic เงื่อนไข / Progress Bar / Overflow อัตโนมัติ / Recurring+Always-on / Reward ต่อ Level (Coin, Privilege, Tag, Tier Boost)
- Health Package: Bundle Mandatory+Elective+Standing Benefit / Online Store (Well App, E-Commerce, Counter, LINE) / Coin Discount Toggle คำนวณราคาสุทธิ Live / Package Change (Extend, Transfer, Swap) พร้อม Approval
- Transfer Coin/Point: Purchase-based Earning จาก Shopee/Lazada / Direct Transfer API สำหรับ Partner (The1, M Card, K Point) พร้อม Conversion Rate เฉพาะ Partner",,,,,,,,,,,,,,,
