Phase,Sub-Item,Type,Module Mapping,Specified in TOR,Custom Dev (One-time),Custom Dev MA & Hosting (On-going/year),License (On-going/year),Service (On-going/year),Setup (One-time),Per Consumption Cost,TOR Items Mapping,Additional CRM Features Beyond TOR
"Phase 1 : ระบบ Coin Economy, eCoupon & Privilege Platform, Marketing Automation และ Integration",,,,,"1,350,000","245,000","2,922,000","504,000",0,,,
Phase 1,ระบบสมัครสมาชิก/เข้าสู่ระบบ (Register/Login/SSO/OTP),License + Custom Development,"CRM Core, Open API",Yes,"60,000","10,000","1,800,000",,,,"- B1.1: สมัครสมาชิก/เข้าสู่ระบบ (Register/Login/OTP/SSO)
- E1.1: Register/Login (SSO)
- E2.1: Member
- E2.2: Register / Login
- E3.1: Register / Login (ผ่าน LIFF / Webview)","- ตั้งค่า auth method ได้ตาม merchant (LINE only / Phone only / ทั้งคู่)
- ระบบตรวจสอบ profile completion หลัง login อัตโนมัติ
- ตั้งค่า field ที่ต้องกรอกได้ 15+ fields พร้อม validation เช่น ชื่อ-สกุล, เบอร์โทร, อีเมล, เลขบัตรประชาชน, ที่อยู่
- แสดง field ตามประเภทสมาชิกได้ เช่น สมาชิกประเภท Corporate เห็น field บริษัท"
Phase 1,ระบบ Coin Wallet & ยอดคะแนนสะสม,License,CRM Core,Yes,,,,,,,"- A1.2: Coins คือ คะแนนสะสมท่ี่ได้จากพฤติกรรม/การซื้อ/การใช้บริการ และอื่น ๆ ใช้แลกสิทธิ์ต่าง ๆ ได้
- B1.2a: ยอด coins ปัจจุบัน
- B1.2b: ประวัติ earn/burn/expire (history)
- A2.3: Omni-channel: Wallet ของ Coins, Wallet ของ eCoupons, Tier และอ่ื่น ๆ ต้องสะท้อนทุกช่องทาง โดยจัดลําดับของการทําธุรกรรมต่างกันแต่ละช่องทาง เช่น LINE เป็นช่องทางหลัก: Register/Check Coins/Burn Coins และ redirect ไป webview (เช่น LIFF) หรือ Well by Samitivej ที่เป็น super app: ต้อง display และทําธุรกรรมได้มากท่ีสุด (Full loop)
- E1.3: Wallet: Coins + eCoupons + Tier
- E2.4: Check Coins
- E3.2: Check Coins / Check Tier / Check eCoupons","- รองรับหลายสกุลเงิน: Coins (ใช้แทนกันได้) + Tickets (แยกประเภท เช่น ticket สำหรับเข้าร่วม campaign พิเศษ หรือกิจกรรมเฉพาะสมาชิก)
- บันทึกทุกรายการพร้อม audit trail ครบ
- ระบบหมดอายุ coin ที่ยืดหยุ่น: ตั้งค่าได้หลายรูปแบบ เช่น จำนวนวันหลังได้รับ, วันที่กำหนดตายตัว, สิ้นเดือน, สิ้นปี, หรือกำหนดเองตามเงื่อนไขธุรกิจ — ระบบประมวลผลหมดอายุอัตโนมัติ
- ระบบ reversal/ยกเลิกรายการ กรณี refund หรือยกเลิกบริการ
- ตั้งค่า delayed award ได้ เช่น หน่วง 24 ชม. หลังเข้ารับบริการก่อนเข้า wallet"
Phase 1,ระบบแลก Coins เป็น eCoupon / Privilege / Reward Catalog,License,CRM Core,Yes,,,,,,,"- B1.4: แลก Coins เป็น eCoupon / Privilege / E Cash Voucher
- B1.4a: เลือกสิทธิ์จาก catalog
- B1.4b: เห็นเงื่อนไข/วันหมดอายุ/จํานวนคงเหลือ
- B1.4c: ได้โค้ดสําหรับใช้ (QR/Barcode/Serial/Copy code)
- A1.4: Privilege คือ สิทธิพิเศษจากโรงพยาบาลหรือ partner (คูปองส่วนลด/ดีลพิเศษ/ของรางวัล)
- E1.4: Earn coins / eCoupon จากกิจกรรม, Redeem coins / eCoupon
- E3.3: Burn Coins / Redeem Coupons redirect ไปหน้า CRM webview","- สถาปัตยกรรม 2 ชั้น: Eligibility Layer (ใครแลกได้) + Points Pricing Layer (ใช้กี่แต้ม)
- Multi-dimensional matching: tier × user type × persona × tags พร้อมกัน
- คำนวณราคา coin แบบ dynamic ตามมิติลูกค้า เช่น สมาชิก Platinum ใช้ coin น้อยกว่า Silver
- 4 วิธี fulfillment: digital, shipping, pickup, printed
- 3 ประเภท visibility: user (สาธารณะ), admin (หลังบ้าน), campaign (เฉพาะกลุ่ม)
- จัดการ promo code แบบ bulk import พร้อม partner attribution"
Phase 1,Coins Rule Engine,License,CRM Core,Yes,,,,,,,"- B2.4: Coins rule engine
- B2.4a: กําหนด earn rate / bonus / expiry / จํากัดจํานวน / จํากัดความถี่ / แยกตามประเภทได้ เช่น OPD, IPD สัดส่วนได้ต่างกัน เป็นต้น
- B2.4b: กําหนด earn rate แบบ Special ตามช่วงเวลาท่ี่กําหนด / กลุ่มท่ี่กําหนด / เฉพาะบุคคล
- B2.4c: มีความสามารถควบคุม/อนุมัติการปรับแต้ม (maker-checker)","- กลุ่มกฎการ earn พร้อมควบคุม stacking (ซ้อนตัวคูณได้/ไม่ได้)
- ตั้ง earn rule ระดับบริการ: แพ็กเกจ/แผนก/ประเภทบริการ พร้อมกำหนดข้อยกเว้นได้
- ตั้ง rule ตามสาขา/แผนก รพ. ได้
- ตั้ง delayed award ได้ เช่น หน่วง 7 วัน หลังเข้ารับบริการก่อนเข้า wallet
- กำหนดข้อยกเว้นได้ เช่น ไม่นับบริการ X
- ตัวคูณ coin อัตโนมัติตาม tier เช่น Platinum ได้ 2x
- รองรับเงื่อนไขเฉพาะทางที่ซับซ้อน"
Phase 1,ระบบ eCoupon สำหรับโรงพยาบาล (เดี่ยว/ชุด/Seasonal),License + Custom Development,CRM Core,Yes,"110,000","25,000",,,,,"- A1.3: eCoupon คือ สิทธิ์แบบ ""คูปอง"" อาจเป็นส่วนลด, สิทธิ์บริการ, หรือ ""แพ็กเกจหลายครั้ง"" เป็นต้น
- B1.6: eCoupon สําหรับโรงพยาบาล
- B1.6a: คูปองร้านค้าในโรงพยาบาล เช่น คูปองส่วนลดร้านอาหาร 100 บาท จากแพ็คเกจตรวจสุขภาพ
- B1.6b: คูปองส่วนลด/แลกสิทธิ์ใช้บริการ
- B1.6d: คูปองจากการแลก coins
- B1.6e: คูปองสมาชิกแพ็กเกจสุขภาพ 1/3/5 ปี [คูปองบังคับ กําหนดจํานวน, ช่วงเวลาใช้ | คูปองเลือกตามสิทธิ์แพ็คเกจ | คูปองส่วนลด แบบใช้ไม่จำกัด], Seasonal Coupon เช่น วันเกิด, เดือนเกิด, ครบรอบสมิติเวช 48, 49, 50, 55, 60 ปี เป็นต้น
- E1.5: ซื้อ/รับ eCoupon จาก e-commerce (เช่น คูปองอาหาร)
- E2.6: View eCoupons","- คูปอง admin-only สำหรับแจกจากหลังบ้านเท่านั้น เช่น คูปอง VIP จากแผนกลูกค้าสัมพันธ์
- คูปอง campaign-specific สำหรับแจกเฉพาะกลุ่มเป้าหมาย เช่น เฉพาะสมาชิก Platinum
- Flash reward หมดอายุเป็นนาที สำหรับ real-time promotion เช่น ส่วนลดคลินิกเฉพาะทางช่วง off-peak
- Relative days expiry เช่น หมดอายุ 30 วันหลังรับคูปอง
- Absolute date expiry เช่น คูปองวันเกิดหมดอายุสิ้นเดือนเกิด
- สร้างชุดคูปองจาก template ได้"
Phase 1,ระบบแพ็กเกจหลายครั้ง (Package Entitlement — ตัดใช้ทีละครั้ง),License + Custom Development,CRM Core,Yes,"120,000","30,000",,,,,"- B1.6c: คูปองแพ็กเกจการใช้สิทธิ์ Package/Entitlement แบบหลายครั้ง เช่น treatment 5 ครั้ง (**สําคัญมาก)
- B1.6c.i: ตัดใช้ทีละครั้ง (ป้องกันการใช้ซํ้า/ใช้เกิน)
- B1.6c.ii: เห็นสถานะคงเหลือ + วันหมดอายุ
- B1.6c.iii: รองรับ Edge cases เช่น ย้ายสาขา, ใช้พร้อมกัน 2 จุด, เปล่ี่ยนแพ็กเกจ","- จัดการ stock แบบ real-time ต่อ reward
- รางวัล physical: ระบบติดตามสถานะ fulfillment ครบ (รอดำเนินการ → จัดส่ง → ส่งถึง → เสร็จสิ้น → ยกเลิก)
- รางวัล digital: ออกสิทธิ์ผ่าน API หรือ code validation อัตโนมัติ
- ติดตามสถานะ (claim แล้ว vs ใช้งานจริงที่ รพ.)
- บันทึก audit trail ครบทุกการใช้สิทธิ์"
Phase 1,Back Office: จัดการคูปอง (อัตโนมัติ/Manual/สิทธิ์กลาง-แผนก),License + Custom Development,CRM Core,Yes,"80,000","20,000",,,,,"- B2.1: สร้างคูปองอัตโนมัติหลังคนไข้เข้ารับบริการ (แบบเด่ียว/แบบชุดคูปอง) + sync Data Center-HIS (API)
- B2.2: สร้างคูปองแบบ manual (เด่ียว/ชุด) + แก้ไขรูปแบบ เงื่อนไขคูปองต่างๆได้
- B2.3: สร้างสิทธิ์กลาง ให้สิทธิ์ย่อยตามแผนกเข้าถึงได้ (50 + แผนก)
- B2.3a: ผู้ดูแลส่วนกลาง สามารถ สร้าง กําหนดเงื่อนไข วิธีการ / แพ็กเกจ / คูปองเด่ียว, ชุด / แยกแผนก
- B2.3b: ผู้ดูแลแผนกสามารถกําหนดสิทธิ์ สร้าง/เลือกคูปองรูปแบบต่าง ๆ ส่งให้คนไข้ทางตรงเพ่ือนําไปใช้ได้
- B2.3c: สามารถกําหนดมาตรฐาน / เงื่อนไข เดียวกันจากส่วนกลางเพื่อ สร้าง / ใช้ หรือส่งบันทึกใหม่ เข้าระบบจัดการสินค้า ใน CDP Platform ของโรงพยาบาล","- ตั้งค่า visibility ได้: สาธารณะ, admin-only, campaign-specific
- กำหนดกลุ่มเป้าหมายตามประเภทสมาชิก เช่น เฉพาะสมาชิก Corporate
- สร้างคูปองจาก template
- จัดการคูปองจำนวนมากพร้อมกันได้"
Phase 1,Back Office: รายงาน & Analytics,License,CRM Core,Yes,,,,,,,"- B2.5: รายงานการใช้คูปอง แยกตามแผนก/ร้านค้า/แพ็กเกจ/รายบุคคล รายวัน/เดือน/ปี / ตามกําหนดและสามารถตั้ง monthly auto gen
- F1.5: รายงาน: earn/burn, redemption, active users, campaign performance, funnel metrics
- F1.6: export รายงาน (Excel/CSV) / Dashboard","- ระบบรายงานครอบคลุม 5 กลุ่มหลัก: (1) Member & Engagement — ภาพรวมสมาชิก, active users, retention (2) Coin Economy — earn/burn/expire, ยอดหมุนเวียน, ต้นทุนต่อ coin (3) Campaign & Redemption — ผลลัพธ์แต่ละ campaign, redemption rate, conversion (4) Action-to-Value Attribution — วัดผล ROI ของแต่ละ action ตั้งแต่ earn → engagement → redemption → revenue (5) Operations — coupon usage ตามแผนก, tier movement, anomaly detection
- Drill-down จากภาพรวมลงถึงรายบุคคลได้
- เปรียบเทียบ campaign หลายตัวพร้อมกัน
- แชร์ dashboard ให้ทีมต่าง ๆ ดูได้ตามสิทธิ์
- Custom Dashboard สูงสุด 20 Dashboard รวมอยู่ในราคา — ออกแบบตามความต้องการของสมิติเวช
- Rocket MCP — AI Data Assistant สำหรับ query ข้อมูลด้วยภาษาธรรมชาติ"
Phase 1,Back Office: Reward Catalog Management,License,CRM Core,Yes,,,,,,,- B2.6: บริหาร reward catalog (ของรางวัล/สิทธิ์ที่แลกได้ด้วย coins) / personal reward (nice to have),"- ตั้ง eligibility หลายมิติ (tier + ประเภทสมาชิก + tags)
- คำนวณราคา coin แบบ dynamic ตามมิติลูกค้า
- นำเข้า promo code จำนวนมากพร้อมระบุ partner ต้นทาง
- จัดการ stock แบบ real-time
- ตั้ง scheduling ของ reward (start/end date)"
